[rosmaster.main][INFO] 2026-04-07 04:18:31,923: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-04-07 04:18:31,923: Starting ROS Master Node
[xmlrpc][INFO] 2026-04-07 04:18:31,924: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2026-04-07 04:18:31,925: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2026-04-07 04:18:31,925: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-04-07 04:18:31,925: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2026-04-07 04:18:31,989: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:18:31,990: +PARAM [/roslaunch/uris/host_localhost__39005] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:18:32,018: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:18:32,018: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:18:32,049: +SERVICE [/rosout/get_loggers] /rosout http://localhost:41999/
[rosmaster.master][INFO] 2026-04-07 04:18:32,049: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:41999/
[rosmaster.master][INFO] 2026-04-07 04:18:32,049: +PUB [/rosout_agg] /rosout http://localhost:41999/
[rosmaster.master][INFO] 2026-04-07 04:18:32,051: +SUB [/rosout] /rosout http://localhost:41999/
[rosmaster.master][INFO] 2026-04-07 04:20:00,267: +PARAM [/roslaunch/uris/host_localhost__33273] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/conn/heartbeat_mav_type] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/sys/min_voltage] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,272: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/cmd/use_comp_id_system_control] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/global_position/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/global_position/gps_uere] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/global_position/tf/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/imu/angular_velocity_stdev] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/imu/magnetic_stdev] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/local_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/local_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/local_position/tf/send_fcu] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/safety_area/p1/x] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/safety_area/p1/y] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/safety_area/p1/z] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,274: +PARAM [/mavros/safety_area/p2/z] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_accel/send_force] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_attitude/use_quaternion] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_attitude/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_raw/thrust_scaling] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_position/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_position/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/guided_target/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/guided_target/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/guided_target/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/guided_target/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/setpoint_velocity/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/mission/pull_after_gcs] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/mission/use_mission_item_int] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/distance_sensor/rangefinder_pub/id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/distance_sensor/rangefinder_pub/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/distance_sensor/rangefinder_pub/field_of_view] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/distance_sensor/rangefinder_pub/send_tf] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/distance_sensor/rangefinder_sub/subscriber] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/distance_sensor/rangefinder_sub/id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/distance_sensor/rangefinder_sub/orientation] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/use_mocap] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/mocap_transform] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/mocap_withcovariance] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/use_vision] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/use_hil_gps] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/gps_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/geo_origin/lat] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/geo_origin/alt] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/eph] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/epv] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,275: +PARAM [/mavros/fake_gps/horiz_accuracy] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,276: +PARAM [/mavros/fake_gps/vert_accuracy] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,276: +PARAM [/mavros/fake_gps/speed_accuracy] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,276: +PARAM [/mavros/fake_gps/satellites_visible] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,276: +PARAM [/mavros/fake_gps/fix_type] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,276: +PARAM [/mavros/fake_gps/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2026-04-07 04:20:00,276: +PARAM [/mavros/fake_gps/tf/send] by /roslaunch
