[rosmaster.main][INFO] 2026-07-09 18:53:47,874: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-09 18:53:47,874: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-09 18:53:47,875: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2026-07-09 18:53:47,875: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2026-07-09 18:53:47,875: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-09 18:53:47,875: Master initialized: port[11311], uri[http://localhost:11311/]
[rosmaster.master][INFO] 2026-07-09 18:53:47,947: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:47,948: +PARAM [/roslaunch/uris/host_localhost__33437] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:47,977: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:47,977: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:48,007: +SERVICE [/rosout/get_loggers] /rosout http://localhost:33771/
[rosmaster.master][INFO] 2026-07-09 18:53:48,007: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:33771/
[rosmaster.master][INFO] 2026-07-09 18:53:48,008: +PUB [/rosout_agg] /rosout http://localhost:33771/
[rosmaster.master][INFO] 2026-07-09 18:53:48,009: +SUB [/rosout] /rosout http://localhost:33771/
[rosmaster.master][INFO] 2026-07-09 18:53:52,448: +PARAM [/roslaunch/uris/host_localhost__42995] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,453: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/conn/heartbeat_mav_type] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/sys/min_voltage] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,454: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,455: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,455: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,455: +PARAM [/mavros/cmd/use_comp_id_system_control] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,455: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,455: +PARAM [/mavros/global_position/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,455: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,455: +PARAM [/mavros/global_position/gps_uere] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,455: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 18:53:52,455: +PARAM [/mavros/global_position/tf/send] by /roslaunch
